term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0000003,"reproduction",8.294%, 3.546, 3.518,2.890,-1.4286,1.000,0.000,3,0
GO:0045087,"innate immune response",3.313%,-4.169, 6.117,2.493,-3.0706,0.909,0.000,45087,0
GO:0046777,"protein autophosphorylation",0.620%,-6.532,-1.220,1.771,-2.4921,0.761,0.000,46777,0
GO:0061063,"positive regulation of nematode larval development",0.513%, 0.555, 4.279,1.690,-1.5346,0.722,0.000,61063,0
GO:0040024,"dauer larval development",1.112%, 4.389, 4.953,2.021,-1.7272,0.767,0.608,61063,1
GO:0002119,"nematode larval development",4.468%,null,null,2.622,-1.3497,0.751,0.777,61063,1
GO:0009058,"biosynthetic process",22.649%,-3.688,-6.728,3.326,-2.0883,0.866,0.074,9058,0
GO:0009116,"nucleoside metabolic process",1.603%, 1.401,-4.933,2.179,-2.0462,0.652,0.092,9116,0
GO:0009786,"regulation of asymmetric cell division",0.139%, 2.264,-1.791,1.146,-1.3855,0.810,0.134,9786,0
GO:0000132,"establishment of mitotic spindle orientation",0.438%, 6.098,-1.371,1.623,-1.5400,0.798,0.150,132,0
GO:0012501,"programmed cell death",1.796%, 5.222,-4.298,2.228,-1.3436,0.825,0.176,12501,0
GO:0042048,"olfactory behavior",3.185%,-1.772, 6.685,2.476,-2.0448,0.829,0.209,42048,0
GO:0035556,"intracellular signal transduction",4.457%,-3.715, 4.300,2.621,-1.4299,0.798,0.220,35556,0
GO:0045167,"asymmetric protein localization involved in cell fate determination",0.203%, 5.323, 1.780,1.301,-1.8196,0.765,0.242,45167,0
GO:0048557,"embryonic digestive tract morphogenesis",0.299%, 3.215, 5.766,1.462,-1.5328,0.818,0.289,48557,0
GO:0006357,"regulation of transcription from RNA polymerase II promoter",4.019%,-2.697,-0.992,2.576,-1.8979,0.684,0.328,6357,0
GO:0006355,"regulation of transcription, DNA-templated",10.239%,null,null,2.982,-6.1487,0.659,0.739,6357,1
GO:1990573,"potassium ion import across plasma membrane",0.043%, 6.791,-0.667,0.699,-1.3861,0.808,0.331,1990573,0
GO:0055085,"transmembrane transport",9.342%, 6.779, 0.769,2.942,-1.7918,0.884,0.346,55085,0
GO:0032436,"positive regulation of proteasomal ubiquitin-dependent protein catabolic process",0.203%,-4.686, 1.550,1.301,-2.2062,0.754,0.387,32436,0
GO:0006629,"lipid metabolic process",4.211%, 0.236,-6.531,2.597,-1.3345,0.734,0.393,6629,0
GO:0016311,"dephosphorylation",2.736%,-6.617,-2.844,2.410,-1.3325,0.773,0.415,16311,0
GO:0006636,"unsaturated fatty acid biosynthetic process",0.064%, 1.588,-6.022,0.845,-1.7889,0.656,0.429,6636,0
GO:0034625,"fatty acid elongation, monounsaturated fatty acid",0.011%,null,null,0.301,-1.5330,0.640,0.659,6636,1
GO:0034626,"fatty acid elongation, polyunsaturated fatty acid",0.011%,null,null,0.301,-1.5330,0.640,1.000,6636,1
GO:0019367,"fatty acid elongation, saturated fatty acid",0.011%,null,null,0.301,-1.5330,0.640,1.000,6636,1
GO:0055114,"oxidation-reduction process",6.605%, 0.815,-7.072,2.792,-1.7794,0.740,0.488,55114,0
GO:0016310,"phosphorylation",7.685%,-5.983,-3.149,2.857,-1.7575,0.757,0.585,16310,0
GO:0018105,"peptidyl-serine phosphorylation",1.603%,-6.088,-1.457,2.179,-1.9751,0.745,0.586,18105,0
GO:0010468,"regulation of gene expression",13.360%,-3.426, 0.648,3.097,-1.6234,0.735,0.586,10468,0
GO:0007614,"short-term memory",0.160%, 0.850, 6.613,1.204,-1.3855,0.805,0.599,7614,0
