term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0030590,"first cell cycle pseudocleavage",0.053%, 4.714,-4.306,0.778,-1.8894,0.869,0.000,30590,0
GO:0045087,"innate immune response",3.313%,-0.290, 6.712,2.493,-5.4949,0.818,0.000,45087,0
GO:0050830,"defense response to Gram-positive bacterium",0.171%,null,null,1.230,-1.8996,0.787,0.652,45087,1
GO:0051603,"proteolysis involved in cellular protein catabolic process",2.854%,-6.812, 0.294,2.428,-3.0000,0.765,0.000,51603,0
GO:0030163,"protein catabolic process",3.367%,null,null,2.500,-2.7696,0.777,0.852,51603,1
GO:0055072,"iron ion homeostasis",0.118%,-0.252,-7.959,1.079,-1.3565,0.905,0.000,55072,0
GO:0072488,"ammonium transmembrane transport",0.171%, 6.266, 2.238,1.230,-1.8729,0.864,0.000,72488,0
GO:0048268,"clathrin coat assembly",0.011%, 2.821, 0.591,0.301,-1.8894,0.929,0.014,48268,0
GO:0042761,"very long-chain fatty acid biosynthetic process",0.011%,-4.178,-5.077,0.301,-2.1192,0.772,0.067,42761,0
GO:1901216,"positive regulation of neuron death",0.096%,-5.143, 4.343,1.000,-1.3556,0.856,0.089,1901216,0
GO:0042157,"lipoprotein metabolic process",0.331%,-1.302, 0.323,1.505,-1.8861,0.875,0.113,42157,0
GO:0040034,"regulation of development, heterochronic",0.182%, 2.571,-5.800,1.255,-1.5361,0.860,0.196,40034,0
GO:0043401,"steroid hormone mediated signaling pathway",2.939%,-0.542, 5.067,2.441,-2.0044,0.725,0.207,43401,0
GO:0031054,"pre-miRNA processing",0.053%,null,null,0.778,-1.8729,0.639,0.599,43401,1
GO:0000122,"negative regulation of transcription from RNA polymerase II promoter",0.855%,null,null,1.908,-1.4976,0.804,0.626,43401,1
GO:0042594,"response to starvation",0.385%,null,null,1.568,-1.5214,0.776,0.756,43401,1
GO:0070781,"response to biotin",0.032%,null,null,0.602,-1.8729,0.749,0.615,43401,1
GO:0043413,"macromolecule glycosylation",1.411%,-5.136,-4.037,2.124,-1.8827,0.804,0.214,43413,0
GO:0007168,"receptor guanylyl cyclase signaling pathway",0.053%,-2.775, 5.884,0.778,-1.5031,0.834,0.217,7168,0
GO:0006355,"regulation of transcription, DNA-templated",10.239%,-4.635,-0.518,2.982,-1.4685,0.737,0.220,6355,0
GO:0043327,"chemotaxis to cAMP",0.043%, 2.147, 5.721,0.699,-1.8729,0.800,0.281,43327,0
GO:0008340,"determination of adult lifespan",2.373%, 4.345,-4.990,2.348,-1.5258,0.848,0.284,8340,0
GO:0001556,"oocyte maturation",0.278%, 3.200,-4.545,1.431,-1.3575,0.829,0.299,1556,0
GO:0007606,"sensory perception of chemical stimulus",8.219%, 5.724,-3.397,2.886,-1.5258,0.899,0.314,7606,0
GO:0006508,"proteolysis",7.343%,-6.428, 1.556,2.838,-1.5867,0.824,0.360,6508,0
GO:0035461,"vitamin transmembrane transport",0.432%, 5.969, 2.922,1.613,-1.8729,0.829,0.364,35461,0
GO:0046856,"phosphatidylinositol dephosphorylation",0.096%,-3.536,-5.874,1.000,-1.4001,0.778,0.419,46856,0
GO:0070574,"cadmium ion transmembrane transport",0.011%, 6.490, 1.676,0.301,-1.8729,0.857,0.429,70574,0
GO:0034755,"iron ion transmembrane transport",0.043%,null,null,0.699,-1.3575,0.853,0.646,70574,1
GO:0009593,"detection of chemical stimulus",6.210%, 0.777, 5.818,2.765,-1.3546,0.819,0.503,9593,0
GO:0030148,"sphingolipid biosynthetic process",0.203%,-3.952,-4.404,1.301,-1.6596,0.728,0.522,30148,0
GO:0006644,"phospholipid metabolic process",1.315%,null,null,2.093,-1.3757,0.748,0.640,30148,1
GO:0043137,"DNA replication, removal of RNA primer",0.032%,-6.736,-1.215,0.602,-1.3556,0.791,0.538,43137,0
